Brand,VehicleModel,ManufacturingYear,Type,rating,color,Duty,fuel,CylinderCount,type of gear,capacity,Odometer,#airbags,price
Mercedesbenz,E 300,2017.0,Sedan,0.0,Jet Black,1017.0,Gas,4,others,2,35874,12,18655
Hyundai,My Model Which Is Sonata Is  Best,2012.0,Sedan,1.0,Ruby Red,751.0,Hybrid,4,automatic,2.4,115000,16,17249
Mercedesbenz,Clk 230,2012.0,Coupe,7.0,Sapphire Blue,0.0,Gas,4,manual,2.3,328000,16,18655
Toyota,Prius,2010.0,Hatchback,5.0,Charcoal,0.0,Gas,4,automatic,1.8,259200,8,16308
Mercedesbenz,E 350,2011.0,Sedan,4.0,Unknown,1172.0,Diesel,6,automatic,3.5,132630,12,18655
Ford,Escape,2007.0,Jeep,1.0,Pearl White,0.0,Hybrid,4,unknown,2.3,260000,8,18655
Chevrolet,Volt,2017.0,Hatchback,1.0,Sapphire Blue,382.0,Unknown,4,automatic,1.5,52062,0,26030
Hyundai,My Model Which Is Tucson Is  Best,2012.0,Jeep,2.0,Unknown,642.0,Diesel,4,automatic,2,105437,4,27924
Toyota,Camry,2012.0,Sedan,2.0,Pearl White,934.0,Unknown,4,automatic,2.5,83200,10,29166
Ssangyong,Actyon,2012.0,Jeep,2.0,Jet Black,730.0,Diesel,4,others,1.6,75300,4,42400
Mercedesbenz,E 320,2002.0,Unknown,2.0,Metallic,0.0,Gas,6,unknown,3.2,139000,8,10663
Chevrolet,Malibu,2012.0,Sedan,1.0,Unknown,690.0,Gas,4,unknown,1.5 Turbo,73450,12,24462
Hyundai,Tucson,2012.0,Jeep,4.0,Charcoal,770.0,Diesel,4,automatic,1.7,96618,16,38894
Unknown,Prius C,2117.0,Hatchback,0.0,Unknown,382.0,Hybrid,4,gear,1.5,144000,8,25089
Hyundai,Sonata,2012.0,Sedan,4.0,Unknown,891.0,Other,4,gear,2,239314,4,15681
Unknown,Volt,2017.0,Hatchback,0.0,Charcoal,382.0,Hybrid,4,automatic,1.5,125358,0,18655
Rover,416,2012.0,Unknown,5.0,Sand,0.0,Gas,4,manual,1.6,123333,4,18655
Kia,Picanto,2012.0,Sedan,2.0,Metallic,0.0,Gas,4,manual,1.2,78000,16,12701
Nissan,Versa S,2012.0,Hatchback,4.0,Unknown,586.0,Gas,4,automatic,1.8,120000,4,9408
Toyota,Highlander,2010.0,Unknown,1.0,Unknown,1324.0,Hybrid,6,r,3.3,226198,12,18655
Nissan,Serena,2012.0,Minivan,2.0,Sky Blue,0.0,Gas,4,automatic,2,1800,8,7683
Hyundai,My Model Which Is Santa Fe Is  Best,2014.0,Jeep,3.0,Pearl White,694.0,Diesel,4,automatic,2.2,188679,4,41917
Toyota,Highlander,1916.0,Jeep,3.0,Pearl White,690.0,Hybrid,6,gear,3.5,109344,12,10663
Unknown,Jetta,2103.0,Sedan,2.0,Jet Black,0.0,Gas,4,manual,2,137000,8,7997
Chevrolet,My Model Which Is Volt Is  Best,2012.0,Sedan,4.0,Jet Black,475.0,Hybrid,4,automatic,1.4,107169,8,9095
Chevrolet,Unknown,2011.0,Unknown,3.0,Pearl White,521.0,Gas,4,automatic,1.4 Turbo,72000,10,12544
Ford,Transit,2011.0,Microbus,3.0,Pearl White,831.0,Diesel,4,manual,2.4,164000,7,18655
Toyota,My Model Which Is Prius C Is  Best,2012.0,Hatchback,2.0,Crimson,503.0,Hybrid,4,automatic,1.5,107000,12,16935
Toyota,Prius,2010.0,Hatchback,4.0,Unknown,761.0,Hybrid,4,automatic,1.8,423418,12,18655
Mitsubishi,Outlander,2012.0,Jeep,0.0,Pearl White,707.0,Gas,14,automatic,2,86000,12,19757
Hyundai,Elantra,2012.0,Sedan,0.0,Unknown,584.0,Gas,4,automatic,1.8,155360,6,17876
Mitsubishi,My Model Which Is Rvr Is  Best,2012.0,Hatchback,2.0,Pearl White,1505.0,Unknown,4,automatic,1.8,139000,6,13000
Honda,Civic,2016.0,Sedan,3.0,Charcoal,0.0,Gas,4,automatic,1.5 Turbo,66200,16,30734
Nissan,Wingroad,2012.0,Goods,3.0,Metallic,0.0,Gas,6,others,2.5,0,10,5959
Hyundai,My Model Which Is Santa Fe Is  Best,2012.0,Jeep,0.0,Unknown,891.0,Diesel,14,others,2,176927,4,40057
Hyundai,Unknown,2012.0,Sedan,3.0,Metallic,531.0,Gas,4,automatic,1.6,103490,7,19121
Toyota,Corolla,2012.0,Sedan,1.0,Ruby Red,0.0,Other,4,automatic,1.8,140000,8,9500
Ford,Unknown,2008.0,Jeep,3.0,Sky Blue,0.0,Hybrid,14,others,2.3,186254,4,17500
Opel,Unknown,2002.0,Unknown,2.0,Metallic,0.0,Gas,4,automatic,1.6,272109,7,18655
Chevrolet,Cruze,2012.0,Sedan,4.0,Unknown,707.0,Diesel,14,unknown,0,162001,4,14884
Hyundai,Elantra,2012.0,Sedan,2.0,Unknown,586.0,Gas,4,gear,1.8,80000,6,17876
Ford,Fiesta,2014.0,Hatchback,4.0,Unknown,528.0,Gas,4,others,1.6,56000,10,12858
Bmw,528,2014.0,Sedan,0.0,Jet Black,639.0,Gas,4,others,2.0 Turbo,70000,10,45473
Toyota,Prius C 80 Original,2012.0,Hatchback,2.0,Charcoal,0.0,Gas,4,r,1.5,80011,8,20071
Toyota,Highlander,2010.0,Jeep,3.0,Charcoal,1399.0,Gas,6,others,3.5,156645,12,18655
Toyota,Camry,2017.0,Sedan,5.0,Crimson,1249.0,Unknown,4,automatic,2.5,48035,12,18655
Suzuki,Grand Vitara,2012.0,Jeep,1.0,Pearl White,0.0,Gas,6,others,2.7,180000,6,11000
Mercedesbenz,Gle 350,2017.0,Jeep,3.0,Sapphire Blue,1714.0,Unknown,6,automatic,3.5,53070,12,18655
Ssangyong,Actyon,2018.0,Jeep,3.0,Pearl White,880.0,Diesel,14,r,1.6,22918,4,45928
Toyota,Prius,2005.0,Hatchback,1.0,Unknown,1277.0,Hybrid,4,others,1.5,163000,8,8467
Hyundai,Sonata,2012.0,Unknown,2.0,Metallic,765.0,Other,4,automatic,2,143522,4,15060
Volkswagen,Touareg,2012.0,Jeep,2.0,Pearl White,919.0,Diesel,6,others,3,242955,12,18655
Unknown,Insight,2012.0,Hatchback,1.0,Sapphire Blue,490.0,Hybrid,4,unknown,1.3,172997,6,13328
Mercedesbenz,E 350,2011.0,Sedan,4.0,Metallic,1172.0,Diesel,4,automatic,3.5,119379,12,16621
Honda,Fit,2005.0,Hatchback,6.0,Charcoal,0.0,Gas,4,automatic,1.3,0,4,18655
Toyota,Prius,2011.0,Hatchback,3.0,Unknown,645.0,Hybrid,4,others,1.8,197328,12,18655
Hyundai,My Model Which Is Elantra Is  Best,2014.0,Sedan,1.0,Jet Black,584.0,Gas,4,automatic,1.8,107155,7,18655
Mazda,1300,2014.0,Sedan,0.0,Charcoal,9223.0,Gas,4,unknown,2.5,75381,12,18655
Hyundai,My Model Which Is Elantra Is  Best,2016.0,Sedan,0.0,Pearl White,730.0,Diesel,4,automatic,1.6,33017,4,23207
Hyundai,H1,2017.0,Universal,3.0,Metallic,1249.0,Diesel,4,automatic,0,171690,4,40340
Hyundai,Sonata,2012.0,Sedan,2.0,Pearl White,0.0,Other,4,automatic,2,43514,7,9418
Opel,Astra,1998.0,Sedan,4.0,Unknown,0.0,Gas,Other,manual,1.6,2800000,1,18655
Unknown,C 240,2012.0,Sedan,6.0,Metallic,0.0,Gas,16,automatic,2.6,0,16,8467
Unknown,Prius,2012.0,Hatchback,7.0,Gold,645.0,Hybrid,4,automatic,1.8,222016,8,16621
Mercedesbenz,Ml 320,2001.0,Jeep,2.0,Metallic,0.0,Natural Gas,4,automatic,3.2,245000,16,11604
Hyundai,My Model Which Is Tucson Is  Best,2008.0,Jeep,0.0,Unknown,0.0,Gas,2,unknown,2,194286,0,15681
Peugeot,206,3006.0,Hatchback,1.0,Metallic,0.0,Gas,4,automatic,1.6,93686,0,8467
Toyota,Prius,2007.0,Hatchback,5.0,Metallic,0.0,Hybrid,14,automatic,1.5,141000,8,12231
Volkswagen,Golf 4,2012.0,Sedan,1.0,Metallic,0.0,Natural Gas,14,manual,1.6,0,16,18655
Mercedesbenz,Unknown,2008.0,Universal,2.0,Pearl White,1195.0,Diesel,4,others,2.2 Turbo,177000,16,23521
Kia,Cerato,2012.0,Sedan,4.0,Jet Black,0.0,Gas,4,automatic,1.6,76000,6,21326
Lexus,Gx 460,2010.0,Jeep,3.0,Unknown,1811.0,Gas,8,automatic,4.6,275240,0,15681
Mazda,Rx8,1905.0,Coupe,2.0,Crimson,0.0,Gas,14,gear,1.8,55000,4,10976
Toyota,Prius,2012.0,Unknown,5.0,Crimson,586.0,Hybrid,4,unknown,1.8,297496,7,18655
Hyundai,Accent Se,2017.0,Hatchback,3.0,Unknown,831.0,Gas,4,automatic,0,43488,6,14583
Lexus,Gx 460,2014.0,Jeep,3.0,Metallic,1356.0,Gas,8,others,4.6,200402,0,18655
Hyundai,H1,2016.0,Minivan,0.0,Metallic,1091.0,Diesel,4,automatic,2.5,135884,4,36834
Toyota,Tacoma,2012.0,Sedan,2.0,Unknown,11714.0,Gas,6,gear,0,174827,12,18655
Opel,Combo,2012.0,Goods,3.0,Crimson,0.0,Unknown,4,r,1.6,23000,2,6272
Mercedesbenz,C 180,1996.0,Sedan,0.0,Crimson,0.0,Natural Gas,4,unknown,1.8,0,4,5331
Unknown,My Model Which Is E 350 Is  Best,2012.0,Sedan,5.0,Unknown,1172.0,Diesel,6,automatic,3.5,119379,12,16621
Chrysler,300,2110.0,Sedan,3.0,Unknown,0.0,Gas,6,others,3.5,98000,16,23521
Honda,Fit,2003.0,Hatchback,0.0,Metallic,0.0,Unknown,4,unknown,1.5,0,7,18655
Opel,Unknown,2012.0,Sedan,3.0,Unknown,0.0,Natural Gas,4,manual,2,362000,4,18655
Chevrolet,My Model Which Is Volt Is  Best,3012.0,Jeep,3.0,Crimson,475.0,Hybrid,4,unknown,1.4,188419,0,18655
Toyota,Aqua,2012.0,Unknown,2.0,Crimson,271.0,Hybrid,4,unknown,1.5,86400,4,20250
Lexus,My Model Which Is Rx 400 Is  Best,2008.0,Jeep,1.0,Jet Black,1850.0,Hybrid,4,r,3.5,364523,12,18655
Jeep,Compass,2013.0,Jeep,3.0,Pearl White,751.0,Gas,4,automatic,2.4,59897,16,31248
Vaz,2121 Niva,1983.0,Sedan,4.0,Unknown,0.0,Unknown,4,manual,1.3,0,0,18655
Bmw,X6,2010.0,Jeep,2.0,Unknown,0.0,Unknown,6,gear,3.0 Turbo,171000,16,42337
Mercedesbenz,C 180,1995.0,Sedan,2.0,Sapphire Blue,0.0,Unknown,4,others,1.8,20000,2,18655
Mitsubishi,Coltplus Plus,2006.0,Hatchback,0.0,Rose Pink,0.0,Gas,4,unknown,1.5,59000,4,9095
Chevrolet,Cruze,2012.0,Sedan,1.0,Metallic,0.0,Gas,4,automatic,1.4,20040,12,18655
Hyundai,H1,2008.0,Minivan,3.0,Metallic,1347.0,Unknown,4,unknown,2.5,42442,4,19914
Jeep,Grand Cherokee,2012.0,Jeep,2.0,Unknown,919.0,Diesel,4,automatic,3,228307,4,32973
Mercedesbenz,Viano,2012.0,Minivan,5.0,Unknown,1408.0,Diesel,4,manual,2.2 Turbo,145784,10,37633
Opel,Meriva,2012.0,Unknown,3.0,Metallic,0.0,Gas,4,automatic,1.6,170000,8,7840
Lexus,My Model Which Is Ct 200H Is  Best,2011.0,Unknown,2.0,Metallic,645.0,Hybrid,4,automatic,1.8,32974,0,18655
Kia,My Model Which Is Avella Is  Best,2014.0,Sedan,2.0,Jet Black,0.0,Gas,14,others,2,89526,12,18655
Hyundai,Tucson,2011.0,Jeep,2.0,Pearl White,707.0,Diesel,4,unknown,2,140477,4,21181
Toyota,Tacoma,2012.0,Sedan,1.0,Unknown,0.0,Gas,4,gear,2.7,394069,12,18655
Toyota,Prius,2012.0,Hatchback,3.0,Pearl White,645.0,Hybrid,4,automatic,1.8,255000,12,7056
Hyundai,H1,2014.0,Minivan,1.0,Unknown,777.0,Unknown,4,r,0,136711,4,30784
Opel,Unknown,2012.0,Goods,2.0,Jet Black,8558.0,Diesel,4,manual,1.7,250000,2,6272
Audi,My Model Which Is A4 Sline Is  Best,2012.0,Sedan,1.0,Sapphire Blue,0.0,Gas,4,automatic,2.0 Turbo,240000,10,11760
Mercedesbenz,Unknown,2012.0,Jeep,2.0,Metallic,919.0,Diesel,6,automatic,3.0 Turbo,203500,12,48296
Toyota,Camry,2012.0,Sedan,4.0,Charcoal,779.0,Hybrid,4,others,2.5,75000,12,17562
Toyota,My Model Which Is Prius Is  Best,2012.0,Sedan,1.0,Pearl White,0.0,Unknown,4,r,1.5,200000,4,13172
Bmw,X5,2013.0,Jeep,1.0,Jet Black,917.0,Diesel,6,unknown,3,0,12,18655
Ford,Fusion,2012.0,Sedan,7.0,Jet Black,382.0,Unknown,4,gear,2,88795,0,18655
Toyota,My Model Which Is Rav 4 Is  Best,1914.0,Jeep,2.0,Charcoal,0.0,Gas,14,automatic,2.5,139200,6,34497
Hyundai,Sonata,2015.0,Sedan,2.0,Tangerine,765.0,Other,4,automatic,2,546691,4,9252
Toyota,Camry,2012.0,Sedan,3.0,Pearl White,0.0,Gas,4,unknown,2.5,4130,16,39829
Kia,My Model Which Is Optima Is  Best,2012.0,Sedan,3.0,Metallic,751.0,Gas,4,unknown,2.4,230032,12,18655
Hyundai,Sonata,2015.0,Sedan,3.0,Metallic,9235.0,Other,4,automatic,2,272769,4,15053
Ford,Focus,2012.0,Sedan,2.0,Sapphire Blue,642.0,Gas,4,automatic,2,138664,0,12544
Chevrolet,Cruze,2009.0,Sedan,2.0,Unknown,790.0,Gas,4,unknown,1.6,149692,4,5175
Toyota,My Model Which Is Prius Is  Best,2013.0,Unknown,2.0,Unknown,585.0,Hybrid,4,others,1.8,245486,12,18655
Ford,Fusion,2012.0,Sedan,2.0,Unknown,333.0,Unknown,4,others,2,124493,0,18655
Kia,Carnival Grand,2009.0,Minivan,0.0,Pearl White,1361.0,Diesel,4,automatic,0,84176,6,13172
Toyota,Camry,2010.0,Sedan,1.0,Pearl White,0.0,Hybrid,4,r,0,158000,12,19444
Ssangyong,Actyon,2016.0,Jeep,2.0,Unknown,730.0,Gas,4,gear,1.6,36000,4,42692
Mercedesbenz,Gla 250,2017.0,Jeep,0.0,Unknown,1017.0,Gas,4,automatic,0,44995,0,26030
Mercedesbenz,S 550,2006.0,Sedan,2.0,Jet Black,0.0,Gas,8,automatic,5.5,225600,12,31361
Skoda,Octavia Scout,3011.0,Universal,0.0,Metallic,0.0,Gas,4,r,1.8 Turbo,200000,12,19757
Toyota,Unknown,2019.0,Unknown,1.0,Unknown,978.0,Gas,4,others,0,39254,12,18655
Hyundai,Sonata,2014.0,Sedan,3.0,Unknown,0.0,Unknown,4,unknown,2,389854,4,10036
Fiat,500C,2014.0,Hatchback,2.0,Unknown,0.0,Diesel,4,r,1.4,20000,12,25089
Toyota,Aqua,2012.0,Hatchback,0.0,Pearl White,502.0,Gas,4,automatic,1.5,69000,4,24239
Toyota,Highlander,2008.0,Jeep,3.0,Metallic,1750.0,Hybrid,6,others,3.3,269162,7,18655
Volkswagen,My Model Which Is Passat Is  Best,2012.0,Sedan,2.0,Unknown,779.0,Unknown,16,automatic,2.5,84000,12,16935
Mercedesbenz,E 350,2012.0,Sedan,0.0,Unknown,1053.0,Diesel,16,r,0,200179,12,30734
Audi,A4,2003.0,Sedan,5.0,Charcoal,0.0,Gas,4,gear,0,0,6,6000
Ssangyong,Unknown,2013.0,Jeep,0.0,Unknown,640.0,Unknown,4,r,2,101335,4,31449
Ssangyong,Actyon,2010.0,Jeep,2.0,Metallic,836.0,Diesel,4,automatic,2,237003,4,15718
Ford,Focus,2012.0,Unknown,5.0,Charcoal,642.0,Gas,4,automatic,2,139200,10,9095
Toyota,Prius,2012.0,Hatchback,5.0,Unknown,308.0,Hybrid,14,automatic,0,151923,12,18655
Nissan,My Model Which Is Juke Is  Best,1911.0,Jeep,6.0,Jet Black,583.0,Gas,14,automatic,1.6 Turbo,158000,4,17249
Ssangyong,Actyon,2016.0,Jeep,4.0,Pearl White,730.0,Gas,4,automatic,1.6,28699,16,44166
Opel,Zafira,2005.0,Minivan,5.0,Charcoal,0.0,Diesel,4,manual,1.9,204000,8,12858
Unknown,Unknown,2012.0,Jeep,2.0,Unknown,915.0,Diesel,6,automatic,0,141384,0,7056
Toyota,Camry,2013.0,Sedan,3.0,Unknown,0.0,Gas,14,automatic,2.5,208000,12,18655
Hyundai,My Model Which Is Sonata Is  Best,2012.0,Sedan,7.0,Charcoal,751.0,Unknown,4,unknown,2.4,216118,12,18655
Audi,A6 Premium Plus,2012.0,Sedan,2.0,Pearl White,0.0,Gas,6,automatic,3.0 Turbo,107000,12,34497
Ford,Fiesta,2017.0,Hatchback,4.0,Jet Black,831.0,Gas,4,r,1.6,61803,12,5331
Subaru,My Model Which Is Impreza Is  Best,2012.0,Sedan,2.0,Jet Black,0.0,Gas,4,manual,2.5 Turbo,172800,4,17249
Volkswagen,Jetta,2012.0,Unknown,0.0,Emerald Green,0.0,Natural Gas,4,others,2,250000,0,18655
Unknown,500L,2014.0,Jeep,4.0,Pearl White,473.0,Gas,4,r,1.4,56431,12,17249
Toyota,Prius C,2017.0,Hatchback,4.0,Sapphire Blue,10382.0,Hybrid,4,automatic,1.5,26724,16,14426
Honda,Elysion,3007.0,Minivan,5.0,Pearl White,4283.0,Gas,4,others,2.4,141000,2,10000
Hyundai,Sonata,2012.0,Sedan,0.0,Jet Black,0.0,Gas,14,automatic,2.4,191848,7,18655
Unknown,Hs 250H,2011.0,Sedan,2.0,Pearl White,831.0,Hybrid,4,automatic,2.4,127507,12,18655
Lexus,Gx 460,2015.0,Jeep,0.0,Jet Black,1646.0,Gas,8,automatic,0,129931,0,18655
Land,My Model Which Is Freelander Is  Best,2104.0,Jeep,2.0,Jet Black,0.0,Other,4,manual,1.8,180000,6,10036
Mitsubishi,My Model Which Is Pajero Io Is  Best,2004.0,Jeep,4.0,Metallic,0.0,Gas,4,others,2,250000,2,9408
Toyota,Prius,2010.0,Hatchback,3.0,Pearl White,761.0,Hybrid,4,others,1.8,200000,12,9408
Unknown,My Model Which Is Sportage Is  Best,2010.0,Jeep,7.0,Metallic,833.0,Diesel,4,automatic,2,64741,16,7056
Nissan,My Model Which Is Juke Is  Best,2013.0,Hatchback,4.0,Sapphire Blue,0.0,Gas,4,automatic,0,62000,10,20385
Lexus,Rx 450,2012.0,Jeep,5.0,Unknown,1399.0,Hybrid,6,automatic,3.5,186005,16,13328
Volkswagen,My Model Which Is Jetta Is  Best,2012.0,Sedan,2.0,Metallic,0.0,Gas,4,automatic,2.5,316501,0,7840
Volkswagen,Passat,2014.0,Sedan,2.0,Pearl White,0.0,Unknown,6,unknown,1.8,78000,16,22580
Volkswagen,Golf,2012.0,Hatchback,4.0,Jet Black,0.0,Gas,4,gear,2,132085,4,9408
Unknown,My Model Which Is C 220 Is  Best,1999.0,Unknown,4.0,Metallic,0.0,Diesel,4,manual,2.2 Turbo,111111,4,9408
Unknown,Prius,2012.0,Sedan,5.0,Jet Black,0.0,Hybrid,4,others,1.8,430278,12,18655
Hyundai,Elantra,2017.0,Sedan,4.0,Unknown,1017.0,Gas,4,gear,2,65035,12,18655
Unknown,Fit,3015.0,Hatchback,5.0,Metallic,527.0,Gas,4,unknown,1.3,137533,4,13203
Honda,Fit Navi Premium,2012.0,Hatchback,2.0,Metallic,1236.0,Hybrid,14,automatic,1.3,99000,4,8148
Mercedesbenz,My Model Which Is 250 Is  Best,2111.0,Sedan,5.0,Jet Black,0.0,Gas,4,automatic,1.8,131000,8,23521
Toyota,Prius,2005.0,Sedan,0.0,Unknown,0.0,Hybrid,6,r,1.5,999999,5,10976
Kia,Optima,2012.0,Sedan,0.0,Ruby Red,0.0,Unknown,14,automatic,2.4,83000,7,19444
Hyundai,Sonata,2012.0,Sedan,0.0,Unknown,831.0,Hybrid,4,automatic,2.4,0,0,18655
Hyundai,Sonata,2012.0,Sedan,4.0,Metallic,0.0,Other,4,others,2,377942,4,10036
Hyundai,Elantra,2113.0,Sedan,5.0,Jet Black,585.0,Gas,4,others,0,176000,12,12544
Unknown,Unknown,2014.0,Unknown,2.0,Unknown,308.0,Hybrid,4,automatic,1.8,132563,0,11447
Mercedesbenz,C 240,2012.0,Sedan,4.0,Metallic,0.0,Diesel,4,automatic,2.2 Turbo,275000,4,11604
Volkswagen,Passat,1999.0,Sedan,0.0,Unknown,0.0,Unknown,4,others,1.8 Turbo,0,4,18655
Hyundai,Santa Fe,2010.0,Jeep,0.0,Pearl White,836.0,Diesel,4,unknown,2,58962,4,14897
Opel,Astra,1998.0,Sedan,4.0,Emerald Green,0.0,Gas,14,unknown,1.6,224000,4,6586
Hyundai,H1,2016.0,Universal,1.0,Charcoal,1091.0,Diesel,4,unknown,2.5,203073,4,27463
Hyundai,My Model Which Is Veloster Is  Best,2012.0,Sedan,0.0,Unknown,0.0,Gas,4,automatic,1.6 Turbo,73600,6,19444
Lexus,Ct 200H,1911.0,Hatchback,2.0,Metallic,645.0,Hybrid,4,automatic,1.8,32974,0,18655
Toyota,Vitz,2005.0,Unknown,1.0,Metallic,0.0,Gas,14,manual,1.5,121000,2,10976
Unknown,Optima,2012.0,Sedan,5.0,Jet Black,640.0,Gas,4,automatic,2,0,0,13000
Toyota,Estima,2012.0,Minivan,2.0,Pearl White,0.0,Natural Gas,6,automatic,0,200000,4,8467
Toyota,Aqua,2012.0,Hatchback,4.0,Jet Black,503.0,Gas,4,r,1.5,50000,4,22197
Subaru,Forester,2012.0,Unknown,0.0,Sapphire Blue,781.0,Gas,4,automatic,0,281659,16,8154
Mercedesbenz,E 320,2003.0,Sedan,2.0,Pearl White,0.0,Gas,6,others,3.2,210000,12,16935
Kia,Optima,2014.0,Sedan,0.0,Unknown,0.0,Hybrid,6,others,2.4,66000,12,24148
Bmw,225,1999.0,Sedan,3.0,Jet Black,0.0,Gas,8,automatic,2.5,250000,6,9408
Kia,Optima Hybrid,2012.0,Sedan,1.0,Pearl White,751.0,Hybrid,4,automatic,2.4,89000,12,21639
Mercedesbenz,Cls 550,2012.0,Sedan,3.0,Jet Black,11363.0,Gas,8,automatic,4.6,0,12,18655
Toyota,Aqua,2018.0,Hatchback,2.0,Unknown,7734.0,Hybrid,14,automatic,1.5,7000,6,15500
Toyota,Prius,2012.0,Unknown,0.0,Sapphire Blue,0.0,Hybrid,4,automatic,1.5,167000,8,12074
Toyota,Prius,2012.0,Hatchback,4.0,Unknown,0.0,Hybrid,4,automatic,1.8,135200,9,25716
Kia,Soul,1912.0,Sedan,3.0,Jet Black,642.0,Gas,4,unknown,2,77000,6,13172
Mercedesbenz,My Model Which Is E 350 Is  Best,2012.0,Sedan,2.0,Jet Black,1399.0,Diesel,4,automatic,3.5,189530,12,12388
Toyota,Prius,2006.0,Sedan,2.0,Metallic,0.0,Hybrid,4,automatic,1.5,252800,6,18655
Ford,Fiesta,2012.0,Hatchback,4.0,Crimson,0.0,Unknown,4,automatic,1.6,94640,8,15681
Toyota,Aqua,2012.0,Hatchback,2.0,Sapphire Blue,503.0,Hybrid,4,automatic,1.5,120570,4,14009
Lexus,My Model Which Is Rx 350 Is  Best,2012.0,Jeep,2.0,Jet Black,1823.0,Gas,6,others,3.5,8618,12,18655
Bmw,Unknown,2012.0,Sedan,2.0,Jet Black,0.0,Unknown,6,automatic,3,226000,10,15053
Kia,My Model Which Is Optima Is  Best,2013.0,Sedan,0.0,Unknown,640.0,Gas,4,automatic,2,42563,4,14737
Unknown,My Model Which Is Accent Is  Best,2016.0,Hatchback,2.0,Pearl White,0.0,Gas,4,automatic,1.6,57736,8,15053
Nissan,Juke,2012.0,Jeep,1.0,Unknown,531.0,Gas,4,unknown,1.6,136712,16,18655
Hyundai,H1,2014.0,Minivan,3.0,Charcoal,777.0,Diesel,4,automatic,2.5,170971,4,31082
Hyundai,Sonata S,2012.0,Sedan,1.0,Unknown,0.0,Gas,4,automatic,1.8,88600,6,18033
Toyota,Prius C 2013,2013.0,Hatchback,4.0,Charcoal,0.0,Hybrid,4,automatic,1.5,65000,2,18655
Bmw,320 I,2012.0,Sedan,1.0,Unknown,0.0,Gas,6,manual,2,354000,2,6272
Hyundai,Elantra,2012.0,Unknown,4.0,Unknown,531.0,Gas,4,automatic,1.6,121362,4,19121
Mercedesbenz,Unknown,1992.0,Sedan,1.0,Unknown,0.0,Natural Gas,6,others,3.7,123000,7,9408
Toyota,Prius,2010.0,Sedan,6.0,Pearl White,0.0,Unknown,4,gear,1.8,145000,6,18817
Toyota,Prius,2012.0,Hatchback,2.0,Sapphire Blue,746.0,Hybrid,14,automatic,1.5,124839,6,11290
Lexus,Rx 400,2008.0,Jeep,2.0,Jet Black,1850.0,Hybrid,6,automatic,3.5,244731,12,7997
Honda,Fit,2011.0,Hatchback,2.0,Emerald Green,11236.0,Hybrid,4,others,1.3,123000,16,9095
Hyundai,Unknown,2012.0,Sedan,3.0,Metallic,0.0,Gas,4,others,1.4,180000,0,18655
Toyota,Unknown,1902.0,Hatchback,1.0,Metallic,0.0,Gas,4,automatic,1.5,121000,4,8467
Subaru,Forester,2003.0,Goods,2.0,Pearl White,0.0,Gas,6,automatic,2.5,1000,4,18655
Mercedesbenz,E 500,1904.0,Unknown,4.0,Unknown,0.0,Gas,4,automatic,5,99000,10,21953
Volkswagen,Unknown,2010.0,Sedan,2.0,Unknown,1024.0,Gas,4,others,2.5,104000,7,7500
Toyota,Camry,2013.0,Sedan,4.0,Unknown,10779.0,Hybrid,4,r,2.5,225510,16,18655
Honda,Insight,2010.0,Hatchback,2.0,Jet Black,0.0,Hybrid,4,automatic,1.3,113000,8,14113
Honda,Insight,2009.0,Hatchback,1.0,Charcoal,0.0,Unknown,6,automatic,0,141000,7,18655
Chevrolet,My Model Which Is Captiva Is  Best,2012.0,Jeep,2.0,Charcoal,833.0,Diesel,4,automatic,2.2,70003,4,41400
Hyundai,H1,2012.0,Minivan,1.0,Unknown,1091.0,Diesel,4,others,2.5,41000,4,41654
Hyundai,Sonata,2012.0,Sedan,2.0,Unknown,0.0,Other,14,automatic,2,72000,16,17249
Toyota,Prius,2008.0,Hatchback,2.0,Metallic,0.0,Hybrid,4,automatic,1.5,185471,8,18655
Honda,Unknown,2012.0,Jeep,4.0,Metallic,831.0,Gas,4,automatic,2.4,244067,16,18655
Toyota,My Model Which Is Camry Is  Best,2014.0,Sedan,5.0,Jet Black,0.0,Hybrid,4,others,2.5,203200,16,25089
Chevrolet,Cruze,2015.0,Sedan,2.0,Pearl White,562.0,Gas,4,others,1.4 Turbo,88000,12,19444
Vaz,Vesta,2018.0,Sedan,2.0,Unknown,0.0,Gas,6,automatic,0,35000,12,15681
Honda,Fit,2014.0,Hatchback,1.0,Metallic,0.0,Gas,4,automatic,0,63300,4,23204
Toyota,Camry,2008.0,Sedan,3.0,Pearl White,0.0,Hybrid,4,gear,2.4,0,0,13485
Unknown,Rx 450,2010.0,Jeep,2.0,Unknown,1399.0,Unknown,6,automatic,3.5,317470,16,18655
Ford,Taurus,2013.0,Sedan,1.0,Crimson,1055.0,Unknown,4,unknown,3.5,110439,4,26701
Hyundai,Sonata,2114.0,Sedan,5.0,Metallic,639.0,Other,4,automatic,2,384418,4,11604
Honda,Insight,2012.0,Hatchback,2.0,Metallic,0.0,Hybrid,4,automatic,1.3,200000,2,10976
Ssangyong,Actyon,2012.0,Jeep,3.0,Pearl White,831.0,Gas,4,automatic,1.6,116074,4,40926
Ssangyong,Rexton,2012.0,Jeep,3.0,Jet Black,765.0,Diesel,4,automatic,2,153862,4,36197
